Enterprise to Oak Hill, Florida.
March 3-6, 1890.
Merula migratoria                             
Mimus polyglottus                        
Sialia sialis                                    
Polioptila caerulea                           
Regulus calendula                           
Parus carolinensis                           
Thryothorus ludovicianus                 
Troglodytes aedon                           
Authus ludovicianus                        
Parula americana                           
Dendroica coronata                         
Dendroica caerulea                         
Dendroica pinus                              
Dendroica palmarum                       
Geothlypis trichas                           
Vireo noveboracensis                      
Collurio ludoviciana                         
Ampelis cedrorum                           
Progne purpurea                              
Tachycineta bicolor                         
Passerculus savanna                      
Spizella socialis                              
Pencaea aestiralis                           
Melospiza palustris                         
Pipilo alleni
Cardinalis cardinalis
Cyanospiza ciris
Agelaeus phjoeniceus
Sturnella mexicana
Quiscalus aglaeus
Quiscalus major
Corvus americanus
Corvus ossifragus
Cyanocitta cristata
Aphelocoma floridana
Sayornis fuscus
Trochilus colubris
Picus borealis
Centurus carolinensis
Colaptes auratus
Ceryle alcyon
Falco sparverius
Pandion carolinensis
Buteo borealis
Buteo b. alleni
Haliaetus leucocephalus
Cathartes aura
Zenaidura carolinensis
Chamaepelia passerina
Ortyx floridana
Ardea herodias
Aegialites vocifera
Gallinago wilsonia
Grus americana
Phalacrocorax floridana
Sternia regia
