March 6 - 16, 1890.  
Banana Creek, Florida
Merula migratoria                            
Mimus polyglottus                          
Mimus carolinensis                        
Thryothorus ludovicianus                
Authus ludovicianus                       
Seiurus noveboracensis                 
Cistothorus palustris                      
Dendroica discolor                         
Dendroica coronata                        
Dendroica palmarum                      
Geothlypis trichas                         
Vireo noveboracensis                    
Collurio ludovicianus                     
Tachycineta bicolor                       
Cardinadlis cardinalis                    
Passerculus savanna                    
Melospiza palustris                      
Melospiza melodia                        
Agelaeus phoeniceus                    
Quiscalus major                            
Sturnella mexicana                       
Cyanocitta cris. florincola              
Aphelocoma floridana                    
Corvus ossifragus                          
Ceryle alcyon                               
Colaptes auratus                          
Strix pratincola                             
Falco peregrina                            
Falco columbarius                       
Pandion carolinensis                   
Circus hudsonicus                       
Aecipiter fuscus                          
Haliaetus leucocephalus
Cathartes aura
Sayornis fuscus
Ortyx virginiana
Ardea ludoviciana
Ardea caerulea
Ardea wardi
Ardea herodius
Botaurus minor
Agialites vociferus
Totanus flavipes
Totanus melanoleucus
Himantopus mexicanus
Calidris arenaria
Macrorhamphus griseus
Symphemia semipalmata
 Squatarola helvetica
Tringa minutilla
Rhynchops nigra
Chaulelasmus streperus
Anas fulvigula
Dafila acuta
Mareca americana
Spatula clypeata   
Nettion carolinensis
Querquedula discors
Fulix affinis
Fulix marila
Fulix collaris
Aythya americana
Fulica americana
Erismatura rubida
