Zooniverse ID,Classification count,Page ID,Volume,Page,Year,Image scale,Type,Coords,Value
ASC0000048,101,2539383,1,,1860,0.45161290322580644,Page keywords,[],"[""Book Cover Graphic Recreative Science"", ""Recreative Science"", ""Groombridge"", ""sons"", ""cover"", ""illustration"", ""1860"", ""volume 1"", ""book"", ""title"", ""recreative science"", ""title page"", ""title on cover"", ""Title page"", ""Cover"", ""Cover: \r\n\r\nRecreative Science\r\n\r\nbinding"", ""Decorated title page"", ""Title""]"
ASC0000048,101,2539383,1,,1860,0.45161290322580644,drawing,"[0, 0, 209, 408, 638, 638]","{""keywords""=>[""Book Cover Graphic Recreative Science"", ""Recreative Science"", ""recreative science"", ""title on cover"", ""Title page"", ""Decorated title page""]}"
ASC000004c,231,2539388,1,,1860,0.4507405022537025,Page keywords,[],"[""S.462.A.1."", ""memo"", ""handwriting"", ""S.462.A.1"", ""handwritten"", ""mark"", ""text"", ""S 462.A.I.""]"
ASC000004c,231,2539388,1,,1860,0.4507405022537025,drawing,"[0, 0, 438, 547, 277, 129]","{""keywords""=>[""memo"", ""handwritten"", ""S 462.A.I.""]}"
ASC000004c,231,2539388,1,,1860,0.4507405022537025,inscription,"[611, 632, 0, 0, 0, 0]","{""text""=>[""S.462.A.I."", ""S.462.A.1."", ""S.H62.A.L"", ""S.Hb2.A.1"", ""S.462.A.1"", ""S.462.A.i"", ""S 462.A.I.""]}"
ASC000003z,21,2539391,1,Page 1,1860,0.4507405022537025,Page keywords,[],"[""decorative"", ""seaside"", ""coral"", ""ocean"", ""shell"", ""sea"", ""rocks"", ""seafloor"", ""Flowers"", ""sea floor"", ""Recreative Science"", ""underwater"", ""sea bed"", ""undersea"", ""recreative"", ""science""]"
ASC000003z,21,2539391,1,Page 1,1860,0.4507405022537025,drawing,"[0, 0, 51, 29, 897, 358]","{""keywords""=>[""decorative"", ""seaside"", ""coral"", ""ocean"", ""shell"", ""sea"", ""rocks"", ""seafloor"", ""sea floor"", ""Recreative Science"", ""undersea"", ""underwater"", ""sea bed""]}"
ASC000004t,17,2539393,1,Page 3,1860,0.4507405022537025,Page keywords,[],"[""astronomy"", ""telescopes"", ""planet"", ""observation"", ""Double-image micrometer"", ""planets"", ""circle"", ""stars"", ""astronomy "", ""star"", ""telescope"", ""double-image micrometer"", ""rackwork adjustment"", ""micrometer"", ""mapping"", ""planets micrometer"", ""observed planetary movement"", ""Planet alignment"", ""star charts""]"
ASC000004t,17,2539393,1,Page 3,1860,0.4507405022537025,drawing,"[0, 0, 94, 822, 363, 320]","{""keywords""=>[""astronomy"", ""telescopes"", ""Double-image micrometer"", ""planets"", ""circle"", ""stars"", ""astronomy "", ""observed planetary movement""]}"
ASC000004t,17,2539393,1,Page 3,1860,0.4507405022537025,drawing,"[0, 0, 546, 824, 367, 314]","{""keywords""=>[""astronomy"", ""telescopes"", ""circle"", ""stars"", ""planet"", ""star"", ""telescope"", ""double-image micrometer"", ""rackwork adjustment"", ""micrometer"", ""mapping"", ""observed planetary movement"", ""star charts""]}"
