Zooniverse ID,Classification count,Page ID,Volume,Page,Year,Image scale,Type,Coords,Value
ASC0002wyp,5,32563802,,,,0.41816009557945044,Page keywords,[],"[""garden"", ""Hyde Park"", ""landscape"", ""London"", ""Dell"", ""park""]"
ASC0002x1m,5,32563812,,Page 37,,0.41816009557945044,Page keywords,[],"[""flower"", ""lilac""]"
ASC0002x5u,5,32563818,,Page 43,,0.41816009557945044,Page keywords,[],"[""pinus sabiniana"", ""section of leaf"", ""w.g. sm"", ""gardchron"", ""pine tree"", ""cone"", ""leaf"", ""#Pine\r\n#Conifer"", ""tree"", ""nut pine"", ""California foothill pine"", ""digger pine"", ""ghost pine"", ""gray pine"", ""grey pine"", ""microscopic view of leaf"", ""bark""]"
ASC0002x5u,5,32563818,,Page 43,,0.41816009557945044,drawing,"[0, 0, 35, 73, 951, 1268]","{""keywords""=>[""pinus sabiniana"", ""section of leaf"", ""w.g. sm"", ""gardchron"", ""#Pine\r\n#Conifer"", ""tree"", ""nut pine"", ""California foothill pine"", ""digger pine"", ""ghost pine"", ""gray pine"", ""grey pine"", ""microscopic view of leaf"", ""cone"", ""bark""]}"
ASC0002wwo,5,32563820,,Page 45,,0.41816009557945044,Page keywords,[],"[""pear-midge"", ""entomology"", ""midge"", ""pear"", ""insects"", ""tree"", ""pear midge"", ""Midge"", ""insect"", ""#Midge\r\n#Insect""]"
ASC0002wwo,5,32563820,,Page 45,,0.41816009557945044,drawing,"[0, 0, 356, 374, 302, 612]","{""keywords""=>[""pear-midge"", ""entomology"", ""midge"", ""pear"", ""insects"", ""tree"", ""pear midge"", ""Midge"", ""insect"", ""#Midge\r\n#Insect""]}"
ASC0002wwl,7,32563826,,Page 51,,0.41816009557945044,Page keywords,[],"[""meteorological"", ""weather"", ""temperature"", ""Chiswick"", ""44 year average"", ""districts"", ""july"", ""1888"", ""rainfall"", ""Districts"", ""accumulate"", ""average"", ""weather (table)""]"
ASC0002wwl,7,32563826,,Page 51,,0.41816009557945044,chart,"[0, 0, 341, 139, 318, 888]","{""keywords""=>[""meteorological"", ""Districts"", ""temperature"", ""accumulate"", ""weather""]}"
ASC0002wwl,7,32563826,,Page 51,,0.41816009557945044,inscription,"[547, 643, 0, 0, 0, 0]","{""text""=>[""Rainfall."", ""Districts."", ""Bright Sunshine.""]}"
ASC0002x0w,7,32563835,,Page 20,,0.41816009557945044,Page keywords,[],"[""weather"", ""scotland"", ""england"", ""rain"", ""temperature"", ""meteorological observations"", ""1888"", ""grazing"", ""wheat producing"", ""UK""]"
ASC0002x0w,7,32563835,,Page 20,,0.41816009557945044,chart,"[0, 0, 352, 185, 333, 1173]","{""keywords""=>[""weather"", ""scotland"", ""temperature"", ""england"", ""grazing"", ""wheat producing"", ""UK""]}"
ASC0002x0w,7,32563835,,Page 20,,0.41816009557945044,chart,"[0, 0, 682, 108, 333, 883]","{""keywords""=>[""weather"", ""scotland"", ""temperature"", ""england"", ""grazing"", ""wheat producing"", ""UK""]}"
ASC0002x2n,5,32563838,,Page 17,,0.41816009557945044,Page keywords,[],"[""peronospora"", ""mildew"", ""plant"", ""gardens"", ""molds"", ""fungi"", ""water mold"", ""Peronospora ficariae"", ""hellebores"", ""Helleborus sp."", ""fungus"", ""spore"", ""parasitic"", ""hellebore"", ""botany"", ""tree"", ""fruit"", ""roots"", ""flower"", ""water"", ""mould""]"
ASC0002x2n,5,32563838,,Page 17,,0.41816009557945044,drawing,"[0, 0, 48, 246, 625, 905]","{""keywords""=>[""peronospora"", ""mildew"", ""plant"", ""gardens"", ""molds"", ""fungi"", ""water mold"", ""Peronospora ficariae"", ""hellebores"", ""Helleborus sp."", ""fungus"", ""spore"", ""parasitic"", ""hellebore"", ""botany"", ""tree"", ""fruit"", ""roots""]}"
ASC0002x2n,5,32563838,,Page 17,,0.41816009557945044,species,"[403, 696, 0, 0, 0, 0]","{""common""=>[""Hellebores"", ""water mold"", ""christmas rose hellebore""], ""scientific""=>[""Helleborus"", "" Peronospora ficariae"", ""Helleborus sp.""]}"
ASC0002x2n,5,32563838,,Page 17,,0.41816009557945044,inscription,"[249, 1105, 0, 0, 0, 0]","{""text""=>[""Peronospora on Hellebores"", ""Fig. 2. -- PERONOSPORA ON HELLEBORES. (see p. 16.)"", ""X. 400""]}"
ASC0002x2n,5,32563838,,Page 17,,0.41816009557945044,contributor,"[333, 1105, 0, 0, 0, 0]","{""name""=>[""Wiz SM"", ""W. G"", ""SM""], ""role""=>[""illustrator""]}"
ASC0002x05,6,32563846,,Page 9,,0.41816009557945044,Page keywords,[],"[""orchid"", ""polyanthous"", ""plante"", ""flowers"", ""orchids"", ""flora""]"
ASC0002x05,6,32563846,,Page 9,,0.41816009557945044,drawing,"[0, 0, 37, 213, 627, 932]","{""keywords""=>[""orchid"", ""polyanthous"", ""plante"", ""flowers"", ""orchids"", ""flora""]}"
ASC0002x05,6,32563846,,Page 9,,0.41816009557945044,species,"[352, 1134, 0, 0, 0, 0]","{""common""=>[""""], ""scientific""=>[""Dendrobium wardianum"", ""Dendrodium Wardganum""]}"
ASC0002x18,5,32563878,,Page 65,,0.41816009557945044,Page keywords,[],"[""Botany"", ""plant"", ""flower"", ""colour"", ""lilac-grey"", ""ostrowskya magnifica"", ""bell-flower"", ""lilac"", ""grey"", ""veins"", ""giant hardy bell flower""]"
ASC0002x0z,5,32563886,,Page 73,,0.41816009557945044,Page keywords,[],"[""plant"", ""cutting""]"
ASC0002x0z,5,32563886,,Page 73,,0.41816009557945044,drawing,"[0, 0, 341, 390, 328, 553]","{""keywords""=>[""plant"", ""cutting""]}"
ASC0002x0z,5,32563886,,Page 73,,0.41816009557945044,inscription,"[520, 926, 0, 0, 0, 0]","{""text""=>[""fig.7.--LEAF CUTTING OF SANSEVIERA GUINEENSIS."", ""1, Portion of leaf inserted as a cutting, showing two young plants growing out from base, natural size; 2,3,4, views of same cutting, showing the manner of development of the young plants"", ""1, Portion of leaf inserted as a cutting, showing two young plants growing out from base, natural size; 2,3,4, Views of same cutting, showing the matter of development of the young plants.""]}"
ASC0002x2x,5,32563898,,,,0.41816009557945044,Page keywords,[],"[""St. James Park"", ""London"", ""river"", ""trees"", ""swans"", ""Ink photo"", ""St James' Park""]"
ASC0002x30,6,32563906,,Page 91,,0.41816009557945044,Page keywords,[],"[""potato"", ""tuber"", ""iodine"", ""starch"", ""chemistry"", ""microscope"", ""potato starch"", ""potato tuber""]"
ASC0002x30,6,32563906,,Page 91,,0.41816009557945044,drawing,"[0, 0, 25, 423, 640, 537]","{""keywords""=>[""potato"", ""tuber"", ""iodine"", ""starch"", ""chemistry""]}"
