Zooniverse ID,Classification count,Page ID,Image scale,Type,Coords,Value
ASC00032vu,8,28308817,0.45931758530183725,Page keywords,[],"[""gardening"", ""Rat"", ""traps"", ""gardens"", ""slate rock"", ""drain"", ""Pest control""]"
ASC00032vu,8,28308817,0.45931758530183725,drawing,"[0, 0, 650, 847, 280, 133]","{""keywords""=>[""gardening"", ""Rat"", ""traps"", ""gardens"", ""slate rock"", ""Pest control""]}"
ASC00032vu,8,28308817,0.45931758530183725,inscription,"[814, 905, 0, 0, 0, 0]","{""text""=>[""a pit always filled with water, being below the bottom of the drain"", ""SLATE"", ""Bottom of the Drain"", ""Slate"", ""A"", ""BOTTOM OF THE DRAIN""]}"
ASC00032ew,5,28308900,0.46204620462046203,Page keywords,[],"[""trellis for climbers"", ""trellis"", ""climbers""]"
ASC00032ew,5,28308900,0.46204620462046203,drawing,"[0, 0, 359, 782, 253, 377]","{""keywords""=>[""trellis for climbers"", ""trellis"", ""climbers""]}"
ASC000326s,5,28308963,0.4634227077126779,Page keywords,[],"[""Trellis"", ""climbing tool"", ""garden"", ""table"", ""trellis"", ""climbers"", ""pot plant"", ""Trellis for climbers"", ""gardening tool""]"
ASC000326s,5,28308963,0.4634227077126779,drawing,"[0, 0, 394, 823, 278, 393]","{""keywords""=>[""Trellis"", ""climbing tool"", ""garden"", ""table"", ""trellis"", ""climbers"", ""pot plant"", ""Trellis for climbers"", ""gardening tool""]}"
ASC000329l,7,28308965,0.46265697290152014,Page keywords,[],"[""tree guard"", ""C.Lawerence"", ""Esq."", ""M.E.H."", ""tree trunk and cross section"", ""tree"", ""guard"", ""growth"", ""frame"", ""fence posts"", ""rails"", ""leaves"", ""branches""]"
ASC000329l,7,28308965,0.46265697290152014,drawing,"[0, 0, 173, 820, 192, 382]","{""keywords""=>[""tree guard"", ""C.Lawerence"", ""Esq."", ""M.E.H."", ""tree"", ""guard"", ""growth"", ""frame"", ""fence posts"", ""rails"", ""leaves"", ""branches""]}"
ASC00032gc,5,28308999,0.4631161098246775,Page keywords,[],"[""#vine grafting"", ""grafting"", ""vine"", ""cultivation"", ""grafting vines"", ""graft"", ""bottle"", ""botany"", ""diagram""]"
ASC00032gc,5,28308999,0.4631161098246775,drawing,"[0, 0, 351, 374, 139, 156]","{""keywords""=>[""#vine grafting"", ""grafting"", ""vine"", ""cultivation"", ""grafting vines"", ""graft"", ""bottle"", ""botany"", ""diagram""]}"
ASC00032h4,8,28309001,0.46357615894039733,Page keywords,[],"[""mete data"", ""weather"", ""london"", ""week"", ""april"", ""horticultural garden"", ""chiswick"", ""barometer"", ""thermometer"", ""wind"", ""rain"", ""temperature"", ""week's data"", ""first week of April 1843"", ""Chiswick"", ""17 years average"", ""1827-1843"", ""Covent-Garden Market prices"", ""fruits"", ""vegetables"", ""April 1-7 1843""]"
ASC00032h4,8,28309001,0.46357615894039733,chart,"[0, 0, 51, 886, 297, 127]","{""keywords""=>[""weather"", ""london"", ""week"", ""april"", ""horticultural garden"", ""chiswick"", ""barometer"", ""thermometer"", ""wind"", ""rain"", ""temperature"", ""week's data"", ""first week of April 1843""]}"
ASC00032h4,8,28309001,0.46357615894039733,chart,"[0, 0, 51, 1057, 296, 122]","{""keywords""=>[""weather"", ""london"", ""week"", ""april"", ""chiswick"", ""temperature"", ""wind"", ""rain"", ""Chiswick"", ""17 years average"", ""1827-1843""]}"
