Zooniverse ID,Classification count,Page ID,Image scale,Type,Coords,Value
ASC00037tb,8,10419021,0.49786628733997157,Page keywords,[],"[""landscape"", ""mountain"", ""trees"", ""forest"", ""mountains"", ""rainforest""]"
ASC00037tb,8,10419021,0.49786628733997157,contributor,"[111, 848, 0, 0, 0, 0]","{""name""=>[""J.D.H"", ""J.D.H."", ""W.F.""], ""role""=>[""illustrator"", ""lithographer""]}"
ASC000386t,8,10419411,0.4657351962741184,Page keywords,[],"[""No text"", ""barley"", ""plant"", ""page 34"", ""petals"", ""line drawings""]"
ASC000386t,8,10419411,0.4657351962741184,drawing,"[0, 0, 9, 11, 778, 1382]","{""keywords""=>[""barley"", ""plant"", ""page 34"", ""petals""]}"
ASC000386t,8,10419411,0.4657351962741184,contributor,"[46, 1381, 0, 0, 0, 0]","{""name""=>[""Prof Hounslow, dal"", ""Prof Henslow"", ""Prof. Henslow""], ""role""=>[""illustrator"", ""other""]}"
ASC000386t,8,10419411,0.4657351962741184,contributor,"[706, 1378, 0, 0, 0, 0]","{""name""=>[""Reeve Benham  Reeve"", ""Reeve, Benham & Reeve""], ""role""=>[""printer""]}"
ASC000385v,7,10419412,0.4657351962741184,Page keywords,[],"[""palm"", ""umbrella"", ""color plate"", ""tree"", ""palm tree"", ""botany"", ""plant""]"
ASC000385v,7,10419412,0.4657351962741184,contributor,"[661, 1378, 0, 0, 0, 0]","{""name""=>[""Reeve Benham & Reeve"", ""Reeve, Benham & Reeve""], ""role""=>[""printer""]}"
ASC000385v,7,10419412,0.4657351962741184,contributor,"[111, 1361, 0, 0, 0, 0]","{""name""=>[""Fitch""], ""role""=>[""artist"", ""lithographer"", ""illustrator""]}"
ASC000385m,6,10419413,0.4623513870541612,Page keywords,[],"[""plant"", ""leaves"", ""pods"", ""petals"", ""leaf"", ""magnified"", ""botany"", ""page 141"", ""page 140""]"
ASC000385m,6,10419413,0.4623513870541612,drawing,"[0, 0, 345, 46, 411, 1315]","{""keywords""=>[""leaf"", ""botany"", ""page 140""]}"
ASC000385m,6,10419413,0.4623513870541612,contributor,"[312, 669, 0, 0, 0, 0]","{""name""=>[""B. Clarke"", ""B.Clarke"", ""Benjamin Clarke""], ""role""=>[""illustrator"", ""other""]}"
ASC000385m,6,10419413,0.4623513870541612,contributor,"[296, 1347, 0, 0, 0, 0]","{""name""=>[""H. F. Hance"", ""H.F.Hance"", ""H. E. Hance""], ""role""=>[""illustrator"", ""other""]}"
ASC0003866,5,10419414,0.4985754985754986,Page keywords,[],"[""boat oars men plant"", ""canoe"", ""river"", ""tree"", ""boat"", ""people""]"
ASC0003866,5,10419414,0.4985754985754986,drawing,"[0, 0, 3, 53, 818, 1323]","{""keywords""=>[""boat oars men plant"", ""tree"", ""boat"", ""river"", ""people""]}"
ASC000386w,7,10419415,0.45901639344262296,Page keywords,[],"[""plant oh and horse what does the horse have to with itl"", ""horse"", ""seed pod"", ""bulb"", ""urn"", ""bag"", ""fibonacci"", ""botany"", ""coloured"", ""unknown"", ""mysterious""]"
ASC000386w,7,10419415,0.45901639344262296,contributor,"[69, 1378, 0, 0, 0, 0]","{""name""=>[""Fitch"", ""Fitch, del et lith""], ""role""=>[""illustrator"", ""lithographer"", ""other""]}"
ASC000386w,7,10419415,0.45901639344262296,contributor,"[724, 1382, 0, 0, 0, 0]","{""name""=>[""R.B. & R."", ""R.B.&R. imp."", ""R.B&R.""], ""role""=>[""printer"", ""other""]}"
ASC0003863,6,10419417,0.45992115637319314,Page keywords,[],"[""herb"", ""myrrh"", ""historical taxonomy"", ""googul"", ""flower"", ""fruit"", ""section"", ""branch"", ""carpal"", ""epicarp"", ""bayee"", ""Beloochistan"", ""Baluchistan"", ""Balochistan"", ""cross-sections"", ""leaves"", ""flowers""]"
ASC0003863,6,10419417,0.45992115637319314,drawing,"[0, 0, 7, 23, 743, 1355]","{""keywords""=>[""herb""]}"
ASC0003863,6,10419417,0.45992115637319314,species,"[446, 1334, 0, 0, 0, 0]","{""common""=>[""bayee balsam"", """"], ""scientific""=>[""Balsamodendron pubescens""]}"
ASC0003876,8,10419418,0.46296296296296297,Page keywords,[],"[""Stigmata of Eschsholtzia"", ""stigmata"", ""sphceronema"", ""epicecidium"", ""plant"", ""Eshsholtzia"", ""eschsholtzia"", ""sphoeronema epicecidium""]"
ASC0003876,8,10419418,0.46296296296296297,drawing,"[0, 0, 18, 797, 743, 591]","{""keywords""=>[""stigmata"", ""Eshsholtzia"", ""sphoeronema epicecidium""]}"
ASC0003876,8,10419418,0.46296296296296297,drawing,"[0, 0, 26, 33, 739, 757]","{""keywords""=>[""plant"", ""stigmata"", ""eschsholtzia""]}"
ASC0003876,8,10419418,0.46296296296296297,contributor,"[686, 1370, 0, 0, 0, 0]","{""name""=>[""R. B. and R."", ""R.B. & R."", ""R.B. and R.""], ""role""=>[""other"", ""printer"", ""illustrator""]}"
ASC0003868,6,10419419,0.4557291666666667,Page keywords,[],"[""plant"", ""flower"", ""colour"", ""Pucha-pat"", ""Patchouli"", ""Patchouly"", ""Pogostemon patchouli"", ""Pogostemon cablin"", ""herb"", ""botany"", ""biology"", ""Lamiaceae"", ""lamiales"", ""asterids"", ""Eudicots""]"
ASC0003868,6,10419419,0.4557291666666667,drawing,"[0, 0, -3, 23, 756, 1373]","{""keywords""=>[""Pucha-pat"", ""Patchouli"", ""Patchouly"", ""Pogostemon patchouli"", ""Pogostemon cablin"", ""plant"", ""herb"", ""flower"", ""botany"", ""biology"", ""Lamiaceae"", ""lamiales"", ""asterids"", ""Eudicots""]}"
ASC0003868,6,10419419,0.4557291666666667,contributor,"[56, 1382, 0, 0, 0, 0]","{""name""=>[""Fitch"", ""Walter Fitch, del et lith.""], ""role""=>[""illustrator"", ""lithographer""]}"
ASC0003868,6,10419419,0.4557291666666667,contributor,"[693, 1370, 0, 0, 0, 0]","{""name""=>[""R. B. & R."", ""R. B. A. R. imp"", ""R.B. & R.""], ""role""=>[""printer""]}"
ASC0003867,5,10419420,0.4623513870541612,Page keywords,[],"[""flower"", ""botany"", ""tetrazygia fadyeni"", ""Fitch"", ""Tetrazygia Fadyeni"", ""anther"", ""stamen"", ""sepal"", ""stalk"", ""leaf"", ""cell"", ""plant"", ""cuticle"", ""petal"", ""vein"", ""ovary"", ""ovule"", ""seed"", ""steml leaf"", ""bud"", ""bloom""]"
ASC0003867,5,10419420,0.4623513870541612,drawing,"[0, 0, 9, 33, 768, 1366]","{""keywords""=>[""Fitch"", ""Tetrazygia Fadyeni"", ""anther"", ""stamen"", ""sepal"", ""stalk"", ""leaf"", ""cell"", ""plant"", ""flower"", ""cuticle"", ""petal"", ""vein"", ""ovary"", ""ovule"", ""seed"", ""steml leaf"", ""bud"", ""bloom""]}"
ASC0003867,5,10419420,0.4623513870541612,species,"[226, 148, 0, 0, 0, 0]","{""common""=>[""""], ""scientific""=>[""Tetrazygia Fadyeni""]}"
ASC0003867,5,10419420,0.4623513870541612,contributor,"[692, 1371, 0, 0, 0, 0]","{""name""=>[""R. B. & R. imp."", ""R.B. & R.""], ""role""=>[""printer""]}"
ASC0003867,5,10419420,0.4623513870541612,contributor,"[47, 1381, 0, 0, 0, 0]","{""name""=>[""Fitch""], ""role""=>[""lithographer""]}"
ASC00039z3,5,767623,0.4403900597672224,Page keywords,[],"[""Grevillea"", ""gilivrayi"", ""plant"", ""flower"", ""bloom"", ""petal"", ""evergreen flower"", ""grevillea"", ""botany"", ""Vincent Brooks\r\n""]"
ASC00039z3,5,767623,0.4403900597672224,drawing,"[0, 0, 20, 15, 774, 1387]","{""keywords""=>[""Grevillea"", ""gilivrayi"", ""plant"", ""flower"", ""bloom"", ""petal"", ""evergreen flower""]}"
