Zooniverse ID,Classification count,Page ID,Volume,Page,Year,Image scale,Type,Coords,Value
ASC00033sm,7,2911822,v. 4 1842,Tab. XVIII.XIX,1842,0.33573141486810554,Page keywords,[],"[""veins on leaf"", ""fern leaf venation"", ""leaves"", ""venation"", ""leaf vein"", ""diagram"", ""Bird"", ""microscopic wiev""]"
ASC00033sm,7,2911822,v. 4 1842,Tab. XVIII.XIX,1842,0.33573141486810554,inscription,"[346, 1355, 0, 0, 0, 0]","{""text""=>[""Drawing of the principal forms of unation"", ""Diagram of the principal forms of venation"", ""Diagram of the principal forms of veintations""]}"
ASC00033uq,8,2911881,v. 4 1842,Tab. XX,1842,0.42501517911353975,Page keywords,[],"[""microscopic view"", ""liverworts"", ""plant"", ""moss"", ""Jungermanniaceae"", ""lichen"", ""lichens""]"
ASC00033wi,6,2911918,v. 4 1842,Tab. XXI,1842,0.43143297380585516,Page keywords,[],"[""flower"", ""bud"", ""leaf"", ""plant"", ""stem"", ""petal"", ""Plants"", ""Christya speciosa Harv."", ""Plant"", ""Chrystia"", ""blossom"", "" Plant""]"
ASC00033xy,10,2912017,v. 4 1842,Tab. XXII,1842,0.4286589099816289,Page keywords,[],"[""Lagarosiphon muscoides"", ""oxygen weed"", ""plant"", ""curly water thyme"", ""lagarosiphon"", ""oxygen plant"", ""Lagarosiphon Muscoides"", ""Line drawing"", ""botany"", ""lagarosiphon muscoides"", ""aquatic"", ""Africa"", ""Madagascar"", ""flower"", ""plants"", ""flowers"", ""waterplants"", ""moss"", ""africa""]"
ASC00033xy,10,2912017,v. 4 1842,Tab. XXII,1842,0.4286589099816289,drawing,"[0, 0, 31, 75, 757, 1261]","{""keywords""=>[""Lagarosiphon muscoides"", ""oxygen weed"", ""plant"", ""curly water thyme"", ""lagarosiphon"", ""oxygen plant"", ""Lagarosiphon Muscoides""]}"
ASC00033xy,10,2912017,v. 4 1842,Tab. XXII,1842,0.4286589099816289,species,"[355, 836, 0, 0, 0, 0]","{""common""=>[""oxygen weed"", """", ""Lagarosiphon""], ""scientific""=>[""Lagarosiphon muscoides"", ""lagarosiphon muscoides"", ""Lagarosiphon miscoïdes""]}"
ASC00033xy,10,2912017,v. 4 1842,Tab. XXII,1842,0.4286589099816289,inscription,"[391, 1216, 0, 0, 0, 0]","{""text""=>[""9"", ""10"", ""lagarasihpon muscoïdes""]}"
ASC00033xy,10,2912017,v. 4 1842,Tab. XXII,1842,0.4286589099816289,inscription,"[714, 1150, 0, 0, 0, 0]","{""text""=>[""12"", ""13"", ""Lagarosiphon muscoides."", ""5""]}"
ASC00033xy,10,2912017,v. 4 1842,Tab. XXII,1842,0.4286589099816289,inscription,"[297, 923, 0, 0, 0, 0]","{""text""=>[""8"", ""1""]}"
ASC00033xy,10,2912017,v. 4 1842,Tab. XXII,1842,0.4286589099816289,contributor,"[728, 1344, 0, 0, 0, 0]","{""name""=>[""Allan & Ferguson, Glasgow"", ""Allan & Ferguson"", ""Allon&Ferguson Itth"", ""allen .... glasgow"", ""Allan & Ferguson lith, Glasgow""], ""role""=>[""lithographer"", ""illustrator"", ""printer""]}"
ASC00033xi,6,2912018,v. 4 1842,,1842,0.42879019908116384,Page keywords,[],"[""drawing of male person"", ""portrait"", ""Allan Cunningham"", ""man""]"
ASC000343y,7,2912207,v. 4 1842,Tab. XXIII,1842,0.4298434141848327,Page keywords,[],"[""Laurus Bowiei"", ""botanical drawing"", ""plant"", ""flower""]"
ASC0003432,5,2912208,v. 4 1842,Tab. XXIV,1842,0.4298434141848327,Page keywords,[],"[""flora"", ""botanical"", ""botanical drawings"", ""botanical illustrations"", ""Neckera breviseta"", ""Daltronia nevosa"", ""moss Daltonia nervosa"", ""moss Neckera breviseta"", ""moss""]"
ASC0003432,5,2912208,v. 4 1842,Tab. XXIV,1842,0.4298434141848327,contributor,"[728, 1385, 0, 0, 0, 0]","{""name""=>[""Allan Ferguson"", ""blank"", ""Allan and Ferguson Lith Glasgow""], ""role""=>[""lithographer"", ""blank""]}"
ASC000344i,6,2912209,v. 4 1842,Tab. XXV,1842,0.4298434141848327,Page keywords,[],"[""fauna"", ""clasmatodon pusillas\r\nGrimmia Drummondu"", ""illustration"", ""Clasmatodon pusillas"", "" Grimmia drummondii""]"
ASC000344i,6,2912209,v. 4 1842,Tab. XXV,1842,0.4298434141848327,drawing,"[0, 0, 57, 65, 745, 640]","{""keywords""=>[""fauna"", ""clasmatodon pusillas\r\nGrimmia Drummondu"", ""illustration"", ""Clasmatodon pusillas""]}"
ASC000344i,6,2912209,v. 4 1842,Tab. XXV,1842,0.4298434141848327,drawing,"[0, 0, 59, 721, 748, 634]","{""keywords""=>[""fauna"", "" Grimmia drummondii"", ""illustration""]}"
ASC000342p,6,2912214,v. 4 1842,,1842,0.42997542997543,Page keywords,[],"[""Louis Claude Marie Richard"", ""botanist"", ""Louis-Claude-Marie Richard"", ""portrait"", ""lithograph"", ""Richard"", ""picture"", ""autograph""]"
ASC000342p,6,2912214,v. 4 1842,,1842,0.42997542997543,contributor,"[218, 875, 0, 0, 0, 0]","{""name""=>[""W. Pichlith"", ""W. Mitch"", ""W. Fitch"", ""W. Witch lith.""], ""role""=>[""illustrator"", ""lithographer""]}"
ASC000331i,5,2917687,v. 3 1841,,1841,0.4430379746835443,Page keywords,[],"[""portrait of person"", ""person"", ""Photograph"", ""Antoine Laurent de Jussieu""]"
ASC00039bh,7,2917718,v. 3 1841,Tab. I,1841,0.44289781714647264,Page keywords,[],"[""botany"", ""Fungi"", ""plants"", ""diagram"", ""multi-species"", ""Hydrophora minima"", ""Endodromia vitrea"", ""Sphoerea Robertsii""]"
ASC00039bh,7,2917718,v. 3 1841,Tab. I,1841,0.44289781714647264,drawing,"[0, 0, 601, 479, 15, 8]","{""keywords""=>[]}"
ASC00039bh,7,2917718,v. 3 1841,Tab. I,1841,0.44289781714647264,drawing,"[0, 0, 128, 352, 17, 11]","{""keywords""=>[]}"
ASC00039bh,7,2917718,v. 3 1841,Tab. I,1841,0.44289781714647264,species,"[563, 535, 0, 0, 0, 0]","{""common""=>["""", ""hydrophora minima""], ""scientific""=>[""Hydrophora minima"", ""hydrophora minima"", ""hydropora minima"", """", ""Hoydrophora minima""]}"
ASC00039bh,7,2917718,v. 3 1841,Tab. I,1841,0.44289781714647264,species,"[491, 1065, 0, 0, 0, 0]","{""common""=>["""", ""blank""], ""scientific""=>[""Endodromia vitrea"", ""blank"", ""Endodromia vitral"", ""Hydrophora minima"", ""Sphaeria Robertsii""]}"
ASC00039bh,7,2917718,v. 3 1841,Tab. I,1841,0.44289781714647264,species,"[231, 361, 0, 0, 0, 0]","{""common""=>[""""], ""scientific""=>[""sphaeria robertsie""]}"
ASC00039bh,7,2917718,v. 3 1841,Tab. I,1841,0.44289781714647264,species,"[-378, 445, 0, 0, 0, 0]","{""common""=>[""blank""], ""scientific""=>[""blank""]}"
ASC00039bh,7,2917718,v. 3 1841,Tab. I,1841,0.44289781714647264,species,"[-560, 698, 0, 0, 0, 0]","{""common""=>[""blank""], ""scientific""=>[""blank""]}"
ASC00039bu,5,2917731,v. 3 1841,Tab. II,1841,0.44289781714647264,Page keywords,[],"[""Plant"", ""plant"", ""schematic"", ""root"", ""stem"", ""seed"", ""fifsidens huglinus"", ""leaf""]"
ASC00039bu,5,2917731,v. 3 1841,Tab. II,1841,0.44289781714647264,contributor,"[707, 1348, 0, 0, 0, 0]","{""name""=>[""[illegible]"", ""too small"", ""Allan & Ferguson""], ""role""=>[""illustrator""]}"
ASC0003a80,5,2917734,v. 3 1841,Tab. III,1841,0.43532338308457713,Page keywords,[],"[""plant"", ""leaf"", ""moss"", ""grimmia"", ""drummmond""]"
ASC0003a8j,6,2917735,v. 3 1841,Tab. IV,1841,0.43532338308457713,Page keywords,[],"[""plum"", ""anomalous"", ""fruit"", ""seed"", ""Plum"", ""fruits"", ""anomalous plum"", ""New Brunswick"", ""plant"", ""diagram""]"
ASC0003a8j,6,2917735,v. 3 1841,Tab. IV,1841,0.43532338308457713,contributor,"[688, 1349, 0, 0, 0, 0]","{""name""=>[""Unreadable"", ""Allan ...."", ""blank""], ""role""=>[""illustrator"", ""blank""]}"
ASC00039ca,8,2917802,v. 3 1841,,1841,0.44080604534005036,Page keywords,[],"[""portrait"", ""surgeon"", ""Robert Knight"", ""East India Company"", ""Madras"", ""doctor"", ""night"", ""east india company"", ""lithograph"", ""Surgeon on the East India Company's Establishment"", ""Madras."", ""man""]"
ASC00039ca,8,2917802,v. 3 1841,,1841,0.44080604534005036,inscription,"[428, 1178, 0, 0, 0, 0]","{""text""=>[""Rob Night (?) M.D. F.L.S. etc, Surgeon on the East Indian Company Establishment, Madras"", ""Rob Wight"", ""Rob Mchte"", ""[Signature]\nM.D. F.L.S.\nSurgeon on the East India Company's Establishment, Madras.""]}"
ASC00039ha,7,2917855,v. 3 1841,Tab. V,1841,0.4354587869362364,Page keywords,[],"[""flower"", ""root"", ""leaf"", ""stem"", ""seed pod"", ""Plant"", ""includes roots"", ""stems"", ""leaves"", ""flowers"", ""pistol"", ""and stamen. "", ""harpalyce formosae"", ""plant"", ""life cycle"", ""flora"", ""pods"", ""fruit shaped similar to a pear""]"
ASC00039f6,6,2917856,v. 3 1841,Tab. VI,1841,0.4354587869362364,Page keywords,[],"[""leguminosae"", ""plant"", ""flower"", ""pod"", ""seeds"", ""leaves"", ""leaf"", ""flowers and pods"", ""pea""]"
ASC00039f6,6,2917856,v. 3 1841,Tab. VI,1841,0.4354587869362364,species,"[460, 996, 0, 0, 0, 0]","{""common""=>[""blank"", """"], ""scientific""=>[""blank"", ""Harpaluce Brasiliana""]}"
