Zooniverse ID,Classification count,Page ID,Volume,Page,Year,Image scale,Type,Coords,Value
ASC0003e6b,7,2032041,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,Page keywords,[],"[""Botany"", ""plant""]"
ASC0003ea6,8,2032083,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,Page keywords,[],"[""diatom"", ""algae"", ""microscopy"", ""perforated membrane"", ""hexagon"", ""achromatic"", ""oil"", ""immersion"", ""achromatic oil immersion"", ""spiral"", ""stalk"", ""fragment"", ""fiddle"", ""flower"", ""microscopic views"", ""microscopic view""]"
ASC0003ea6,8,2032083,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,drawing,"[0, 0, 93, 91, 293, 294]","{""keywords""=>[""diatom"", ""algae"", ""microscopy"", ""perforated membrane"", ""hexagon"", ""achromatic"", ""oil"", ""immersion"", ""achromatic oil immersion"", ""microscopic views""]}"
ASC0003ea6,8,2032083,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,drawing,"[0, 0, 523, 85, 262, 272]","{""keywords""=>[""diatom"", ""algae"", ""microscopy"", ""achromatic"", ""oil"", ""immersion"", ""achromatic oil immersion"", ""microscopic view""]}"
ASC0003ea6,8,2032083,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,drawing,"[0, 0, 524, 398, 252, 263]","{""keywords""=>[""diatom"", ""algae"", ""microscopy"", ""stalk"", ""perforated membrane"", ""achromatic"", ""oil"", ""immersion"", ""achromatic oil immersion"", ""microscopic view""]}"
ASC0003ea6,8,2032083,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,drawing,"[0, 0, 112, 453, 291, 242]","{""keywords""=>[""diatom"", ""algae"", ""microscopy"", ""achromatic"", ""oil"", ""immersion"", ""achromatic oil immersion"", ""flower"", ""microscopic view""]}"
ASC0003ea6,8,2032083,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,drawing,"[0, 0, 374, 730, 208, 191]","{""keywords""=>[""diatom"", ""algae"", ""microscopy"", ""achromatic"", ""oil"", ""immersion"", ""achromatic oil immersion"", ""microscopic view""]}"
ASC0003ea6,8,2032083,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,drawing,"[0, 0, 616, 806, 164, 171]","{""keywords""=>[""diatom"", ""algae"", ""microscopy"", ""fragment"", ""achromatic"", ""oil"", ""immersion"", ""achromatic oil immersion"", ""microscopic view""]}"
ASC0003e91,7,2032121,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,Page keywords,[],"[""microscopy"", ""diatoms"", ""Microscopical""]"
ASC0003e91,7,2032121,"ser. 2, v. 3 (1886-1888)",,1886-1888,0.369783412572636,drawing,"[0, 0, 37, 56, 787, 1303]","{""keywords""=>[]}"
ASC0003ede,8,2032127,"ser. 2, v. 3 (1886-1888)",Page 81,1886-1888,0.369783412572636,Page keywords,[],"[""A.Pagan"", ""growing slide"", ""rotifers"", ""Growing slide"", ""Rotifers"", ""Rev. A. Pagan"", ""B.A."", ""March 25th"", ""1887"", ""slide"", ""growing"", ""water"", ""volvox"", ""globator""]"
ASC0003ede,8,2032127,"ser. 2, v. 3 (1886-1888)",Page 81,1886-1888,0.369783412572636,drawing,"[0, 0, 90, 457, 658, 643]","{""keywords""=>[""A.Pagan"", ""growing slide"", ""rotifers"", ""Growing slide"", ""Rotifers"", ""Rev. A. Pagan"", ""B.A."", ""March 25th"", ""1887"", ""slide"", ""growing"", ""water"", ""volvox"", ""globator""]}"
ASC0003ed4,5,2032132,"ser. 2, v. 3 (1886-1888)",Page 86,1886-1888,0.369783412572636,Page keywords,[],"[""Microscope"", ""microscope"", ""feet"", ""foot"", ""legs"", ""tripod"", ""powell"", ""form"", ""pillar"", ""microscopy"", ""new"", ""price"", ""affordable"", ""Charles Lees Curties"", ""instrument""]"
