Zooniverse ID,Classification count,Page ID,Image scale,Type,Coords,Value
ASC0002zch,6,5173035,0.41555357672899973,Page keywords,[],"[""lichen"", ""mycology"", ""botany"", ""fungus"", ""illustration"", ""lithography"", ""parmelia enteromorpha"", ""parmelia entoromorpha"", ""moss""]"
ASC0002zch,6,5173035,0.41555357672899973,contributor,"[137, 1033, 0, 0, 0, 0]","{""name""=>[""W.J.H Delt"", ""W J H"", ""W.J.H.""], ""role""=>[""illustrator"", ""lithographer"", ""other""]}"
ASC0002zch,6,5173035,0.41555357672899973,contributor,"[676, 1027, 0, 0, 0, 0]","{""name""=>[""Swan St"", ""Swan""], ""role""=>[""other""]}"
ASC0002zju,5,5173037,0.41555357672899973,Page keywords,[],"[""flower"", ""seeds"", ""pods"", ""leaves"", ""inner pod"", ""Flower"", ""plant"", ""petals"", ""poinciana"", ""Bird of Paradise Tree"", ""Bird of Paradise Bush"", ""Poinciana gilliesii""]"
ASC0002zju,5,5173037,0.41555357672899973,drawing,"[0, 0, 22, 55, 808, 1325]","{""keywords""=>[""flower"", ""seeds"", ""pods"", ""leaves"", ""inner pod"", ""poinciana"", ""Bird of Paradise Tree"", ""Bird of Paradise Bush"", ""Poinciana gilliesii""]}"
ASC0002zju,5,5173037,0.41555357672899973,contributor,"[149, 1348, 0, 0, 0, 0]","{""name""=>[""W.J.H delt"", ""W.J.H.""], ""role""=>[""illustrator""]}"
ASC0002zgl,5,5173039,0.41555357672899973,Page keywords,[],"[""Neckera Douglafsu"", ""W. J. H. dell"", ""Plant"", ""plant"", ""leaf"", ""fruit"", ""leaves"", ""plants""]"
ASC0002zgl,5,5173039,0.41555357672899973,inscription,"[266, 1154, 0, 0, 0, 0]","{""text""=>[""1"", ""2"", ""5""]}"
ASC0002zgl,5,5173039,0.41555357672899973,inscription,"[615, 1043, 0, 0, 0, 0]","{""text""=>[""7"", ""blank"", ""8""]}"
ASC0002zdq,7,5173041,0.41555357672899973,Page keywords,[],"[""plant"", ""pteridophyta"", ""Grimmia crispata"", ""spores"", ""Moss"", ""plants"", ""moss"", ""microscopy"", ""grimmia"", ""bryophyta""]"
ASC0002zdq,7,5173041,0.41555357672899973,species,"[419, 720, 0, 0, 0, 0]","{""common""=>["""", ""blank""], ""scientific""=>[""Grimmia crispata"", ""blank"", ""Grimmia crisphata"", ""grimmia crespata""]}"
ASC0002zdq,7,5173041,0.41555357672899973,species,"[284, 998, 0, 0, 0, 0]","{""common""=>["""", ""blank""], ""scientific""=>[""Grimmia crispata"", ""blank""]}"
ASC0002zdq,7,5173041,0.41555357672899973,contributor,"[164, 1040, 0, 0, 0, 0]","{""name""=>[""W.J.H delt"", ""W.J.H. delt"", ""W. J. H."", ""W.J.H. del""], ""role""=>[""illustrator""]}"
ASC0002zbs,6,5173103,0.41555357672899973,Page keywords,[],"[""moss plant "", ""Plant"", ""plant"", ""leaves"", ""botany"", ""spiridens"", ""fern""]"
ASC0002zbs,6,5173103,0.41555357672899973,contributor,"[-112, 923, 0, 0, 0, 0]","{""name""=>[""blank""], ""role""=>[""blank""]}"
ASC0002zcj,5,5173105,0.41555357672899973,Page keywords,[],"[""Bryum Gilliesii"", ""plant"", ""seeds"", ""detail"", ""leaf"", ""plant seed"", ""plant leaf""]"
ASC0002zcj,5,5173105,0.41555357672899973,species,"[557, 1088, 0, 0, 0, 0]","{""common""=>["""", ""blank""], ""scientific""=>[""Bryum Gilliesii"", ""blank"", ""Bryum Gilliescü""]}"
ASC0002zcj,5,5173105,0.41555357672899973,contributor,"[665, 1132, 0, 0, 0, 0]","{""name""=>[""Swan Sc"", ""Bryum Gillisesu"", ""blank""], ""role""=>[""illustrator"", ""blank""]}"
ASC0002zc5,6,5173107,0.41555357672899973,Page keywords,[],"[""Astelia alpina"", ""Pineapple Grass"", ""plant"", ""botany"", ""flower"", ""Astelia Alpina""]"
ASC0002zc5,6,5173107,0.41555357672899973,contributor,"[792, 1392, 0, 0, 0, 0]","{""name""=>[""Swan Sc"", ""Swan""], ""role""=>[""illustrator"", ""other""]}"
ASC0002zd2,6,5173109,0.41555357672899973,Page keywords,[],"[""flower"", ""Chile"", ""plant"", ""stem"", ""leaf"", ""leaves"", ""tendrils"", ""floors""]"
ASC0002zd2,6,5173109,0.41555357672899973,species,"[578, 1291, 0, 0, 0, 0]","{""common""=>["""", ""Clavel del campo""], ""scientific""=>[""Mutisia ilicifolia"", ""Mutisia iliafolia""]}"
ASC0002zby,7,5173111,0.41555357672899973,Page keywords,[],"[""Plant"", ""plant"", ""flower"", ""vine"", ""sunflower"", ""mutisia runcinata"", ""Mutisia runcinata""]"
ASC0002zby,7,5173111,0.41555357672899973,drawing,"[0, 0, 88, 217, 696, 882]","{""keywords""=>[""Plant"", ""plant"", ""flower"", ""vine"", ""sunflower""]}"
ASC0002zby,7,5173111,0.41555357672899973,contributor,"[698, 1044, 0, 0, 0, 0]","{""name""=>[""W.J.H.Swan"", ""W. J. H. Swan. Sc."", ""Swan""], ""role""=>[""artist"", ""illustrator"", ""engraver""]}"
