Zooniverse ID,Classification count,Page ID,Volume,Page,Year,Image scale,Type,Coords,Value
ASC0003k9r,6,2233621,1900,,1900,0.42321644498186217,Page keywords,[],"[""foraminifera of Malay"", ""micro\r\nbioti\r\nmulticellular\r\nstructural\r\n"", ""microscopy""]"
ASC0003k6g,8,2233702,1900,Page 160,1900,0.42321644498186217,Page keywords,[],"[""Aplanatic immersion front"", ""aplanatism single refracting surface"", ""Newtonian reflector"", ""Cartesian oval"", ""spherical aberration"", ""optical aberration"", ""Descartes"", ""single\r\nrefracting\r\nsurface\r\nlight\r\nNewton\r\nDescartes\r\nCartesian\r\noval"", ""math"", ""complicated"", ""optics"", ""lenses"", ""cartesian ovals"", ""refraction"", ""sphere"", ""virtual image"", ""vertex"", ""oval"", ""object"", ""microscopy""]"
ASC0003k6g,8,2233702,1900,Page 160,1900,0.42321644498186217,drawing,"[0, 0, 44, 700, 387, 277]","{""keywords""=>[""Aplanatic immersion front"", ""aplanatism single refracting surface"", ""Newtonian reflector"", ""Cartesian oval"", ""spherical aberration"", ""optical aberration"", ""Descartes"", ""single\r\nrefracting\r\nsurface\r\nlight\r\nNewton\r\nDescartes\r\nCartesian\r\noval"", ""oval"", ""vertex"", ""object"", ""virtual image"", ""microscopy""]}"
ASC0003k5x,7,2233750,1900,Page 285,1900,0.42321644498186217,Page keywords,[],"[""Microscope"", ""Hugh Powell"", ""stage fine adjustment"", ""Turrell stage"", ""micrometer screw"", ""microscope"", ""microscopes"", ""Notes"", ""Machine""]"
ASC0003k5x,7,2233750,1900,Page 285,1900,0.42321644498186217,drawing,"[0, 0, 38, 193, 702, 1117]","{""keywords""=>[""Microscope"", ""Hugh Powell"", ""stage fine adjustment"", ""Turrell stage"", ""micrometer screw"", ""microscopes"", ""microscope"", ""Notes"", ""Machine""]}"
ASC0003k6f,7,2233751,1900,Page 286,1900,0.42321644498186217,Page keywords,[],"[""microscope"", ""Varley"", ""vial microscope""]"
ASC0003k6f,7,2233751,1900,Page 286,1900,0.42321644498186217,drawing,"[0, 0, 76, 427, 352, 129]","{""keywords""=>[""microscope"", ""Varley"", ""vial microscope""]}"
ASC0003k67,8,2233754,1900,Page 289,1900,0.42321644498186217,Page keywords,[],"[""microscope"", ""Microscope Powell"", ""C. Valley"", ""London Physiological Journal"", ""1843"", ""C. Varley""]"
ASC0003k67,8,2233754,1900,Page 289,1900,0.42321644498186217,drawing,"[0, 0, 60, 242, 612, 897]","{""keywords""=>[""microscope""]}"
ASC0003k65,6,2233755,1900,Page 290,1900,0.42321644498186217,Page keywords,[],"[""Microscope"", ""microscope"", ""microscopy""]"
