Zooniverse ID,Classification count,Page ID,Volume,Page,Year,Image scale,Type,Coords,Value
ASC0003sz3,6,30521298,"n.s. decade 4, v. 3 (1896)",,1896,0.43424317617866004,Page keywords,[],"[""Compsognathus longipes"", ""Wagner"", ""dinosaur"", ""fossil"", ""skeleton"", ""bones"", ""biped"", ""geologic magazine"", ""1896"", ""geol."", ""mag."", ""decade""]"
ASC0003tyo,6,30521302,"n.s. decade 4, v. 3 (1896)",Page 4,1896,0.43424317617866004,Page keywords,[],"[""Dinosaur"", ""Sauropod"", ""Compsognathus"", ""longipes"", ""Bipedal"", ""O. C. Marsh"", ""Victorian"", ""Era"", ""Drawing"", ""Composagnathus"", ""reconstruction"", ""pelvis"", ""shoulder"", ""skeleton"", ""Compsognathus longipes"", ""extinct"", ""dinosaur"", ""wagner"", ""huxley"", ""sketch"", ""teeth"", ""bone"", ""theropod"", ""carnivorous"", ""small"", ""European"", ""dinsosaur"", ""biobedal"", ""walking"", ""walking dinosaur""]"
ASC0003tyo,6,30521302,"n.s. decade 4, v. 3 (1896)",Page 4,1896,0.43424317617866004,species,"[372, 357, 0, 0, 0, 0]","{""common""=>[""blank"", """"], ""scientific""=>[""blank"", ""Compsognathus Longipes""]}"
ASC0003ty6,7,30521303,"n.s. decade 4, v. 3 (1896)",Page 5,1896,0.43357076494270674,Page keywords,[],"[""Scelidosaurus Harrisonii"", ""restoration"", ""dinosaur"", ""skeleton"", ""extinct"", ""bone"", ""fossil"", ""owen"", ""lower"", ""lias"", ""charmouth"", ""dorset"", ""Scelidosaurus"", ""saurus"", ""whole skeleton"", ""bone structure"", ""bones""]"
ASC0003tzp,6,30521304,"n.s. decade 4, v. 3 (1896)",Page 6,1896,0.43424317617866004,Page keywords,[],"[""Hypsilophodon Foxii"", ""fossil"", ""skeleton"", ""reptile"", ""hulke"", ""huxley"", ""bone"", ""extinct"", ""specimen"", ""dinosaur"", ""european"", ""restoration"", ""Dinosaur"", ""European"", ""animal"", ""small fore legs"", ""large hind legs"", ""long tail"", ""small head""]"
ASC0003tzp,6,30521304,"n.s. decade 4, v. 3 (1896)",Page 6,1896,0.43424317617866004,drawing,"[0, 0, 89, 533, 725, 274]","{""keywords""=>[""Hypsilophodon Foxii"", ""fossil"", ""skeleton"", ""reptile"", ""hulke"", ""huxley"", ""bone"", ""extinct"", ""specimen"", ""dinosaur"", ""european"", ""restoration"", ""Dinosaur"", ""European"", ""animal"", ""small fore legs"", ""large hind legs"", ""long tail"", ""small head""]}"
ASC0003sy8,7,30521305,"n.s. decade 4, v. 3 (1896)",,1896,0.43143297380585516,Page keywords,[],"[""geology"", ""fossils"", ""Hypsilophodon Foxii"", ""dinosaur"", ""skeleton"", ""full page"", ""one-eight natural size"", ""Cowleaze Chine"", ""Isle of Wight"", ""Wealden"", ""restoration"", ""huxley"", ""decade IV"", ""dinosaur bones"", ""scale drawing"", ""dinosaur. wa"", ""dem. isle of wight"", ""geological magazine"", ""1896"", ""cowleaze chine""]"
ASC0003sy8,7,30521305,"n.s. decade 4, v. 3 (1896)",,1896,0.43143297380585516,drawing,"[0, 0, 9, 97, 810, 1176]","{""keywords""=>[""dinosaur"", ""skeleton"", ""full page"", ""one-eight natural size"", ""Cowleaze Chine"", ""Isle of Wight"", ""Wealden"", ""restoration"", ""huxley"", ""decade IV"", ""scale drawing"", ""dinosaur. wa"", ""dem. isle of wight"", ""geological magazine"", ""1896"", ""cowleaze chine""]}"
ASC0003tyn,7,30521309,"n.s. decade 4, v. 3 (1896)",Page 9,1896,0.43143297380585516,Page keywords,[],"[""britain"", ""north america"", ""strata"", ""vertebrate fossils"", ""united states"", ""quaternary"", ""tertiary"", ""cretaceous"", ""jurassic"", ""triassic"", ""permian"", ""carboniferous"", ""devonian"", ""silurian"", ""cambrian"", ""archaean"", ""geology"", ""fossils"", ""British and North American strata equivalent vertebrate fossils"", ""Prof. Marsh's paper on European Dinosaurs"", ""Equus Beds"", ""Pliohippus Beds"", ""Miohippus beds"", ""Oreodon Beds"", ""Brontotherium beds"", ""Diplacodon beds"", ""Dinoceras Beds"", ""Heliobatis Beds"", ""Coryphodon Beds"", ""Laramie Series"", ""Ceratops Beds"", ""Fox ills Group"", ""Colorado Series"", ""Pteranodon Beds"", ""Atlanosaurus Beds"", ""Baptanodon Beds"", ""Haliopus Beds"", ""Otozou"", ""or Conn. River"", ""Beds"", ""Nothodon Beds"", ""Coal Measures"", ""or Eosaurus Beds"", ""Subcarboniferous Beds"", ""Sauropus Beds"", ""Dinichtbys Beds"", ""chat"", ""table"", ""british"", ""european dinosaurs"", ""fossil"", ""paleology"", ""dinosaur""]"
ASC0003tyn,7,30521309,"n.s. decade 4, v. 3 (1896)",Page 9,1896,0.43143297380585516,drawing,"[0, 0, 10, 153, 830, 1132]","{""keywords""=>[""britain"", ""north america"", ""strata"", ""vertebrate fossils"", ""united states"", ""quaternary"", ""tertiary"", ""cretaceous"", ""jurassic"", ""triassic"", ""permian"", ""carboniferous"", ""devonian"", ""silurian"", ""cambrian"", ""archaean"", ""fossils"", ""chat"", ""table"", ""british"", ""european dinosaurs"", ""fossil"", ""geology"", ""paleology""]}"
